Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Week,CPI,LastCPI,Distance2
Footscray,202/51 Gordon St,1,u,85000,PI,Burnham,03-09-2016,6.4,32,108.6,108.2,8.1
Caulfield,30 Pyne St,4,h,131000,PI,Rodney,25-02-2017,8.9,57,109.4,108.6,12.8
Coburg,171 Moreland Rd,4,h,145000,PI,Jellis,04-06-2016,7.8,19,108.2,108.4,6.8
Albion,8/6 Ridley St,1,u,145000,PI,Biggin,28-05-2016,13.9,18,108.2,108.4,14.4
Albion,10/117 Anderson Rd,1,u,185000,S,hockingstuart,22-08-2016,13.9,30,108.6,108.2,14.1
Albion,5/25 Ridley St,2,u,190000,SP,Burnham,30-07-2016,13.9,27,108.2,108.4,14.6
Kingsville,2/35 Kingsville St,1,u,200000,VB,Greg,30-07-2016,7.8,27,108.2,108.4,9.3
Melbourne,928/43 Therry St,1,u,210000,VB,Greg,13-08-2016,2.8,29,108.6,108.2,0.8
St Kilda,3/239 Canterbury Rd,1,u,211000,S,Gary,06-08-2016,6.1,28,108.6,108.2,6.4
Seddon,8/294 Nicholson St,1,u,215000,VB,Greg,22-05-2016,6.6,17,108.2,108.4,6.9
Footscray,2/3 Eldridge St,1,u,216000,S,Sweeney,04-02-2016,6.4,2,108.4,108,8.1
Reservoir,1/164 Leamington St,1,u,216000,S,Brad,24-09-2016,11.2,35,108.6,108.2,13.4
Reservoir,2/164 Leamington St,1,u,220000,S,Brad,24-09-2016,11.2,35,108.6,108.2,13.4
St Kilda,23/116 Inkerman St,1,u,220000,PI,Whiting,27-11-2016,6.1,44,108.6,108.2,7.4
Footscray,1/3 Eldridge St,1,u,227000,S,Sweeney,04-03-2017,6.4,58,109.4,108.6,8.1
Sunshine West,1/4 Lachlan Rd,2,u,230000,PI,Barry,28-08-2016,13.5,31,108.6,108.2,14.2
Brunswick,10/150 Brunswick Rd,1,u,240000,PI,Hodges,27-11-2016,5.2,44,108.6,108.2,4.4
Moorabbin,1/23 Genoa St,1,u,240000,VB,Ray,30-07-2016,14.6,27,108.2,108.4,24.6
Prahran,49/6 Williams Rd,1,u,240000,SP,Buxton,28-08-2016,4.5,31,108.6,108.2,8.1
